time,value,
2024-06-21T07:46:37.179849351Z,"{""lat"":11.109838",lon:106.617587}
2024-06-21T07:46:35.192588462Z,"{""lat"":11.109739",lon:106.617309}
2024-06-21T07:46:33.206013998Z,"{""lat"":11.109607",lon:106.617029}
2024-06-21T07:46:31.227912799Z,"{""lat"":11.109406",lon:106.616723}
2024-06-21T07:46:29.27342346Z,"{""lat"":11.109151",lon:106.616469}
2024-06-21T07:46:27.25469882Z,"{""lat"":11.108904",lon:106.616415}
2024-06-21T07:46:24.270007187Z,"{""lat"":11.108845",lon:106.616316}
2024-06-21T07:46:22.307008537Z,"{""lat"":11.108798",lon:106.616216}
2024-06-21T07:46:20.301806598Z,"{""lat"":11.108768",lon:106.616102}
2024-06-21T07:46:18.301806598Z,"{""lat"":11.108739",lon:106.616057}
2024-06-21T07:46:16.301806598Z,"{""lat"":11.108666",lon:106.615974}
2024-06-21T07:46:14.301806598Z,"{""lat"":11.108536",lon:106.615611}
2024-06-21T07:46:12.301806598Z,"{""lat"":11.108519",lon:106.615539}
2024-06-21T07:46:10.301806598Z,"{""lat"":11.108483",lon:106.615485}
2024-06-21T07:46:08.301806598Z,"{""lat"":11.108455",lon:106.615396}
2024-06-21T07:46:05.301806598Z,"{""lat"":11.108433",lon:106.615315}
2024-06-21T07:46:03.301806598Z,"{""lat"":11.108409",lon:106.615256}
2024-06-21T07:46:01.301806598Z,"{""lat"":11.108392",lon:106.615179}
2024-06-21T07:45:58.301806598Z,"{""lat"":11.108368",lon:106.615187}
2024-06-21T07:45:56.301806598Z,"{""lat"":11.108342",lon:106.615108}
2024-06-21T07:45:54.301806598Z,"{""lat"":11.108264",lon:106.615031}
2024-06-21T07:45:52.301806598Z,"{""lat"":11.108220",lon:106.615033}
2024-06-21T07:45:50.301806598Z,"{""lat"":11.108137",lon:106.614973}
2024-06-21T07:45:48.301806598Z,"{""lat"":11.108036",lon:106.614942}
2024-06-21T07:45:46.301806598Z,"{""lat"":11.107953",lon:106.614912}
2024-06-21T07:45:44.301806598Z,"{""lat"":11.107840",lon:106.614882}
2024-06-21T07:45:41.301806598Z,"{""lat"":11.107751",lon:106.614864}
2024-06-21T07:45:39.301806598Z,"{""lat"":11.107433",lon:106.614860}
2024-06-21T07:45:37.301806598Z,"{""lat"":11.107224",lon:106.614796}



 
